clinic_id;speciality_id
110000013;55
7125;35
7125;59
100000028;10
100000011;36
7334;49
7334;2
100000028;26
7354;55
7125;40
110000088;35
7125;24
100000028;49
110000073;33
100000004;72
7179;49
7179;9
100000012;4
100000004;81
100000023;16
100000031;31
100000004;74
100000012;34
100000031;72
7319;2
100000022;72
7304;2
100000022;16
7282;49
110000040;36
7304;49
110000014;81
7282;12
110000086;62
110000014;72
7304;72
7046;26
7282;29
110000033;21
110000045;33
100000010;72
110000033;72
110000030;62
6919;4
7175;49
110000071;11
100000036;12
100000040;21
110000012;19
100000010;28
110000030;31
110000030;72
100000036;72
100000010;15
7334;15
100000036;49
110000042;17
110000096;81
7071;72
7071;16
110000033;49
110000072;33
100000020;22
100000014;36
7127;16
7319;72
110000020;55
110000092;74
110000093;9
110000074;26
110000074;10
110000074;310075
110000040;72
100000003;17
100000003;49
6747;49
110000014;74
100000003;25
7080;21
110000096;72
110000093;49
110000012;75
7127;49
110000014;22
6919;34
7080;72
100000006;49
100000006;2
100000020;49
100000004;12
100000017;21
7179;72
110000018;55
100000010;36
110000001;21
7125;26
110000001;72
100000006;72
110000099;36
110000096;9
7289;15
110000101;11
7282;72
6905;11
110000102;21
100000017;72
100000031;62
110000103;18
110000102;72
7319;26
110000088;26
110000106;36
110000108;2
110000108;49
7125;28
110000020;33
7125;54
7125;74
100000010;35
110000111;74
110000030;40
110000088;28
110000111;81
110000111;72
7334;26
110000112;11
100000010;26
110000012;72
100000006;22
110000114;21
110000088;72
110000113;81
110000113;72
110000078;35
110000115;16
110000113;74
110000115;72
110000115;28
