clinic_id;name
55;МРТ 3 Тесла (Магнитно-резонансная томография)
35;Процедурный кабинет
59;Лабораторная диагностика (INVITRO)
10;Кардиолог
36;Оториноларинголог (ЛОР)
49;УЗИ
2;Гинеколог
26;Функциональная диагностика
40;Чек-ап программы
24;Ю не исп
33;СКТ (Спиральная компьютерная томография)
72;Манипуляции амбулаторно
9;Онколог, Онколог-маммолог
4;Эндокринолог
81;Хирург
16;Невролог
31;Дерматовенеролог
74;Проктолог
34;Диетолог
12;Уролог
62;Косметолог
29;Нефролог
21;Травматолог-ортопед
11;Массажист
19;Остеопат
28;Физиотерапевт
15;Терапевт
17;Гастроэнтеролог
22;Сосудистый хирург (Флеболог)
310075;Ревматолог
25;Гастроэнтеролог детский
75;Мануальный терапевт
18;Психолог
54;Вакцинация
