code;name
A00-A09;Кишечные инфекции
A15-A19;Туберкулез
A20-A28;Некоторые бактериальные зоонозы
A30-A49;Другие бактериальные болезни
A50-A64;Инфекции, передающиеся преимущественно половым путем
A70-A74;Другие болезни, вызываемые хламидиями
A80-A89;Вирусные инфекции центральной нервной системы
A90-A99;Вирусные лихорадки, передаваемые членистоногими, и вирусные геморрагические лихорадки
B00-B09;Вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек
B15-B19;Вирусный гепатит
B20-B24;Болезнь, вызванная вирусом иммунодефицита человека [вич]
B25-B34;Другие вирусные болезни
B35-B49;Микозы
B65-B83;Гельминтозы
B90-B94;Последствия инфекционных и паразитарных болезней
B95-B97;Бактериальные, вирусные и другие инфекционные агенты
C00-C97;Злокачественные новообразования
D00-D09;Новообразования in situ
D10-D36;Доброкачественные новообразования
D37-D48;Новообразования неопределенного или неизвестного характера
D50-D53;Анемии, связанные с питанием
D55-D59;Гемолитические анемии
D60-D64;Апластические и другие анемии
D65-D69;Нарушения свертываемости крови, пурпура и другие геморрагические состояния
D70-D77;Другие болезни крови и кроветворных органов
D80-D89;Отдельные нарушения, вовлекающие иммунный механизм
E00-E07;Болезни щитовидной железы
E10-E14;Сахарный диабет
E20-E35;Нарушения других эндокринных желез
E40-E46;Недостаточность питания
E50-E64;Другие виды недостаточности питания
E65-E68;Ожирение и другие виды избыточности питания
E70-E90;Нарушения обмена веществ
F00-F09;Органические, включая симптоматические, психические расстройства
F10-F19;Психические расстройства и расстройства поведения, связанные с употреблением психоактивных веществ
F20-F29;Шизофрения, шизотипические состояния и бредовые расстройства
F30-F39;Расстройства настроения [аффективные расстройства]
F40-F48;Невротические, связанные со стрессом и соматоформные расстройства
F50-F59;Поведенческие синдромы, связанные с физиологическими нарушениями и физическими факторами
F60-F69;Расстройства личности и поведения в зрелом возрасте
F70-F79;Умственная отсталость
F80-F89;Нарушения психологического развития
G10-G13;Системные атрофии, поражающие преимущественно центральную нервную систему
G20-G26;Экстрапирамидные и другие двигательные нарушения
G30-G32;Другие дегенеративные болезни нервной системы
G35-G37;Демиелинизирующие болезни центральной нервной системы
G40-G47;Эпизодические и пароксизмальные расстройства
G50-G59;Поражения отдельных нервов, нервных корешков и сплетений
G60-G64;Полиневропатии и другие поражения периферической нервной системы
G80-G83;Церебральный паралич и другие паралитические синдромы
G90-G99;Другие нарушения нервной системы
H10-H13;Болезни конъюнктивы
